node   1  (   0,    0) (   6,    3) (  11,    4) (  12,    5) (  10,    8) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10)
          (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10)
          (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10)
          (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10)
          (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10)
          (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10)
          (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10)
          (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10)
          (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10)
          (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10) (  10,   10)
          (  10,   10) (  10,   10) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5)
          (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5)
          (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5)
          (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5)
          (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5)
          (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5)
          (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5)
          (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5)
          (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5)
          (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5)
          (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5)
          (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5)
          (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5)
          (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5)
          (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5)
          (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5)
          (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5)
          (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5)
          (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5)
          (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5)
          (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5)
          (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5)
          (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5)
          (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5) (  10,    5)
